Dist,Fairway,Rough,Sand,Recovery,Green,Tee
551,3.7,3.74,3.81,5.464,,4.702
552,3.7,3.74,3.81,5.468,,4.706
553,3.7,3.74,3.81,5.472,,4.711
554,3.7,3.74,3.81,5.476,,4.716
555,3.7,3.74,3.81,5.48,,4.72
556,3.7,3.74,3.81,5.484,,4.723
557,3.7,3.74,3.81,5.488,,4.726
558,3.7,3.74,3.81,5.492,,4.729
559,3.7,3.74,3.81,5.496,,4.732
560,3.7,3.74,3.81,5.5,,4.735
561,3.7,3.74,3.81,5.502,,4.738
562,3.7,3.74,3.81,5.505,,4.741
563,3.7,3.74,3.81,5.508,,4.744
564,3.7,3.74,3.81,5.51,,4.747
565,3.7,3.74,3.81,5.512,,4.75
566,3.7,3.74,3.81,5.515,,4.753
567,3.7,3.74,3.81,5.518,,4.756
568,3.7,3.74,3.81,5.52,,4.759
569,3.7,3.74,3.81,5.522,,4.762
570,3.7,3.74,3.81,5.525,,4.765
571,3.7,3.74,3.81,5.528,,4.768
572,3.7,3.74,3.81,5.53,,4.771
573,3.7,3.74,3.81,5.532,,4.774
574,3.7,3.74,3.81,5.535,,4.777
575,3.7,3.74,3.81,5.538,,4.78
576,3.7,3.74,3.81,5.54,,4.783
577,3.7,3.74,3.81,5.542,,4.786
578,3.7,3.74,3.81,5.545,,4.789
579,3.7,3.74,3.81,5.547,,4.792
580,3.7,3.74,3.81,5.55,,4.795
581,3.7,3.74,3.81,5.552,,4.798
582,3.7,3.74,3.81,5.553,,4.801
583,3.7,3.74,3.81,5.554,,4.804
584,3.7,3.74,3.81,5.556,,4.807
585,3.7,3.74,3.81,5.558,,4.81
586,3.7,3.74,3.81,5.559,,4.813
587,3.7,3.74,3.81,5.56,,4.816
588,3.7,3.74,3.81,5.562,,4.819
589,3.7,3.74,3.81,5.564,,4.822
590,3.7,3.74,3.81,5.565,,4.825
591,3.7,3.74,3.81,5.566,,4.828
592,3.7,3.74,3.81,5.568,,4.831
593,3.7,3.74,3.81,5.57,,4.834
594,3.7,3.74,3.81,5.571,,4.837
